Cell_line_id,data_split,pearson_r,kernel_type,data_type,data_origin
BSS01419,valid,0.5443800342388212,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01426,valid,0.5209208960789689,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01438,valid,0.5753736492635264,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01446,valid,0.4968561796502137,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01456,valid,0.599687550077427,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01460,valid,0.542826978327365,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01483,valid,0.6319455990709244,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01506,valid,0.5204036768124879,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01536,valid,0.6624545368787587,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01542,valid,0.5754315961900164,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01549,valid,0.6580739119798975,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01550,valid,0.6617241001110086,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01551,valid,0.6210720946955239,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01558,valid,0.6596441285558441,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01562,valid,0.5972778893806382,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01573,valid,0.6366857055787187,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01583,valid,0.6542427408961747,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01588,valid,0.5102196193154084,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01612,valid,0.6052982870155624,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01614,valid,0.6013430141051181,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01625,valid,0.6236141759806846,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01636,valid,0.5591606966841774,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01689,valid,0.6763589398199062,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01715,valid,0.5781847105706619,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01814,valid,0.5685188985119596,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01821,valid,0.5977029291703801,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01831,valid,0.6311635124980483,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01840,valid,0.5849990820006282,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01848,valid,0.4813559691950211,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01857,valid,0.5465090293465148,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01866,valid,0.6062648994012929,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01869,valid,0.5414161016400589,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
